,Round,Info Slide,Motion
0,Round 1,"In the Catholic Church, the seal of confession (also known as the seal of the confessional or the sacramental seal) is the absolute duty of priests not to disclose anything that they learn from penitents during the course of the Sacrament of Penance (confession).",THW compel priests to break the seal of confession to report crimes.
1,Round 2,,"THBT in states with high unemployment, the government should choose to make education for STEM fields free, at the cost of increasing the cost of tuition in the humanities."
2,Round 3,"In post-independence decades, Dalit leaders in the Indian National Congress and the Janata Party got to share power as representatives of a particular caste. Prominent Dalit leaders such as Bhola Paswan Shastri, Ram Sundar Das and Damodaram Sanjivayya rose from the grassroots to become chief ministers of states such as Bihar and Andhra Pradesh, while Babu Jagjivan Ram was sworn in as India’s only ever Dalit Deputy Prime Minister in India. All of these leaders belonged to mainstream national political parties.
In the 1980s, Dalit leaders began choosing to establish their own independent caste-based political parties, such as the founding of the Bahujan Samajwadi Party by Kanshi Ram in 1984. This trend has continued into the 21st century, with Dalit leaders who were previously part of mainstream parties also opting to break away and float their own splinter groups. For example, Ram Vilas Paswan, a leading former figure of the Janata Party, formed his own Lok Janshakti Party in 2000. Similarly, Jitan Ram Manjhi split from the Janata Dal (United) to form the Hindustani Awam Morcha in 2015.",THBT Dalit Leaders should work within existing mainstream political parties rather than forming their own independent parties
3,Round 4,Poverty porn is a tactic used to gain empathy and contributions from donors by showing imagery of people living in destitute conditions. It also extends to representations in popular media that glamorize what conditions around poverty look like.,THR the growing prevalence of Poverty Porn.
4,Round 5,,THBT regions with extremely high rates of gendered violence should grant amnesty to women for violent crimes they commit.
5,Round 6,,THBT governments should outsource the regulation of big tech giants to technocrats
6,Novice Semi-Finals,"Ecoterrorism is the use or threatened use of violence by environmentally-oriented groups carried out to further the agenda of pushing for environmental awareness and policy change. Common tactics include sabotaging environmentally damaging equipments/activities e.g. the Sea Shepherd movement destroying fishnets and ramming illegal whaling vessels, saving animal testing subjects through invasion of property, arson etc.",THBT environmental groups should pivot towards ecoterrorism as their primary mode of activism
7,Novice Finals,"Virtual immortality technology would involve a digital scanning, copying and uploading of the human brain onto a computer. As a result, human consciousness could be preserved without any risk of damage or decay, enabling humans to ""live forever"" long after their physical bodies may have perished.",THP a world where virtual immortality technology exists.
8,Quarterfinals,"OnlyFans is an online platform service that allows for individuals to post content behind a paywall, where it is accessible through a one-time payment, or through a subscription fee. Most users use OnlyFans as a means of posting explicit content, and generating an income from others paying to access and consume such content.","THR the increased popularity of sex work-based social media i.e. OnlyFans, JustForFans etc."
9,Semifinals,"Court-packing is a political tactic that, in the context of USA, refers to using legislation to expand the number of judges in a court. This tactic has never been employed successfully in the U.S.A. although there have been attempts to do so.","If given majority in the Senate in the 2020 American election, THS the Democrats packing SCOTUS."
10,Grand Finals,,"THR the narrative among diasporas of having continual ties to a ""motherland"""
