,Round,Info Slide,Motion
0,Round 1,,This House supports the trend of self-diagnosing via the internet
1,Round 2,"The ""One China"" Policy was recognized by the US in 1979, when it cut formal diplomatic ties with Taiwan and acknowledged China's position that there is only one Chinese government. However, it is distinct from the One China principle, whereby China insists Taiwan is an inalienable part of one China to be reunified one day. U.S. has unofficial ties with Taiwan, governed by the 1979 Taiwan Relations Act, which outlines the U.S. commitment to help Taiwan maintain its military defense.","TH, as the United States of America, would abandon the One China Policy"
2,Round 3,"Queer coding is the subtextual coding and interpretation of a fictional character as queer. While the character's sexual identity may not be explicitly confirmed, they may be coded through the use of traits and characteristics recognised by the audience. The queerness in a queer-coded character is intrinsic to the plot and is a natural part of a character's identity .Examples include, but are definitely not limited to, the portrayal of Scar, Jafar, and Ursula in Disney, to Sheldon Cooper in the Big Bang Theory,  Xena, possibly to Batman/Robin and Sherlock/Watson as well.","This House, as the LGBTQIA+ community, supports queer coding in art"
3,Round 4,"In Hungary, Viktor Orban's government have placed universities under the control of public (government-controlled) foundations. Current and future members of these foundations' board of trustees will be appointed by Mr Orban’s Fidesz Party. This move towards more illiberal educational system is predicted to be a trend that may soon be followed by other governments in Europe.",This House believes that the EU should punish their member states for illiberal reforms within their educational system
4,Round 5,,"This house believes that environmental activists should emphasize blaming large corporations for environmental degradation, as opposed to focusing on  the individual responsibility"
5,Octofinals,,"This House regrets the rise in the use of easily accessible online platforms for trading stocks, cryptocurrency, and other financial instruments (e.g., Robinhood, Etoro, etc.)"
6,Novice Semifinals,Naturalization policy in sports is where a state provides a path to citizenship for athletes from another country in exchange for representing the country of destination's national team or contingent in international sporting events.,This House regrets the naturalization policy in sports
7,Quarterfinals,,"This House believes that after achieving an adequate level of financial stability, individuals should focus heavily on the service of others"
8,Novice Finals,"Leaderless resistance, or phantom cell structure, is a social resistance strategy comprised of independent groups or individuals. Leaderless cells lack vertical command links and so operate without hierarchical command, but they have a common goal that links them to the social movement from which their ideology was learned. Leaderless resistance, which often comprise of diverse variations within their core ideology, has been employed by a wide range of movements, both good and bad.",This House prefers leaderless social movements as opposed to one with clearly identifiable leaders
9,Semifinals,"Leaderless resistance, or phantom cell structure, is a social resistance strategy comprised of independent groups or individuals. Leaderless cells lack vertical command links and so operate without hierarchical command, but they have a common goal that links them to the social movement from which their ideology was learned. Leaderless resistance, which often comprises many variations within their core ideology, has been employed by a wide range of movements, both good and bad.",This House prefers leaderless social movements as opposed to one with clearly identifiable leaders
10,Grand Final,,"In a post-COVID world, this House believes that the three countries sharing the Borneo Island (Brunei, Indonesia, Malaysia) should heavily prioritize subsidizing eco-tourism"
