,Round,Info Slide,Motion
0,Round 1,"""Warabel"" describes the phenomenon of balancing individual pursuits (e.g. spending time with family and socializing with friends) and work even at the expense of increased salaries and career opportunities.","This House, as a financially comfortable citizen in an East Asian society, would pursue 'warabel' (warabel)"
1,Round 2,,"Assuming empathy could be accurately measured, this House would restrict voting to individuals with a high level of empathy for those outside of their immediate circle (empathy)"
2,Round 3,"A person who identifies as gender-fluid has a gender identity and presentation that varies over time. A gender-fluid person may identify as male, female, agender, or any other nonbinary identity or combination of identities. Gender fluidity does not affect sexual preference or orientation.","This House believes that the queer community should oppose the glorification of white gender-fluid icons (e.g. Harry Styles, Ruby Rose, Troye Sivan, Nico Tortorella, Sam Smith, etc.) (genderfluid)"
3,Round 4,,"This House believes that South Asian states should actively prioritize forming stronger regional alliances with each other (e.g. by forming closer intra-state defense ties, increasing economic integration etc.) over forming ties with non-regional allies (south asia)"
4,Round 5,"Gaming technology includes but is not limited to cloud gaming, mobile gaming, and Virtual Reality (VR) / Augmented Reality (AR) gaming. E-sports include but are not limited to First-Person Shooter games, Multiplayer Online Battle Arena games, and Battle Royale games.",This House believes that states should aggressively invest in gaming technology and e-sports (gaming/e-sports)
5,Round 6,A counterculture is a culture whose values and norms of behavior differ substantially from or oppose those of mainstream society,This House regrets the commercialization of counterculture art (counterculture art)
6,Round 7,"The ""balance of probability"" standard means that a court is satisfied an event occurred - if the court considers that, on the evidence, the occurrence of the event was more likely (probable) than not.
""Beyond reasonable doubt"" is a higher standard of proof that requires convincing the court that based on the evidence, there is no reason to doubt that the accused is guilty.","In cases where a public official is accused of corruption, this House would lower the evidentiary standard to “balance of probability” instead of “beyond reasonable doubt” (evidentiary standard)"
7,Round 8,,This House believes that it is justified for an individual to prioritise their own self-interest over alleviating universal suffering (ethics)
8,Double-Octofinals,,"This House believes that political opposition parties should focus their electoral campaigns on portraying the voting base of the incumbent party as reasonable and rational, rather than portraying them as being systematically manipulated through undemocratic means (e.g. disinformation on social media, historical revisionism, paid troll farms, etc.) (electoral campaigns)"
9,Octofinals,"For the purpose of this debate, ""God's light"" refers to the concept where God bestows a believer with faith and/or sense of religiosity. Non-believers are seen as people who were simply not bestowed with faith, rather than individuals who actively or passively strayed from faith.","This House prefers a world where religions adopted the concept of ""God's light"" (god's light)"
10,Quarterfinals,"The future of labor refers to demand, employment and the conditions of employment",This House regrets the dominant narrative that increasing automation and the future of labor are irreconcilable. (labor/automation)
11,Semifinals,"The ""Abused Goddess"" ad campaign, created by the Save Our Sisters (SOS) women’s empowerment initiative, presented images of the three primary goddesses of Hindu mythology – Durga, the goddess of valour, Saraswati, the goddess of learning, and Lakshmi, the goddess of wealth, in their silks, jewels and crowns but with welts, bruises and gashes","This House regrets the use of the imagery of the ""Abused Goddess"" in campaigning for women's rights in India (abused goddess)"
12,Grand Final,"The ""closed off"" model refers to a way of life where individuals are more protective of themselves, do not express their emotions much and tend to not give away personal details about themselves.
The ""openness"" model refers to a way of life where individuals freely express their emotions, tend to share personal information with acquaintances and friends (even if not close) and are more emotionally vulnerable.","This House prefers to live as a person who adopted the ""closed off"" model (how to live)"
13,EFL Pre Quarter Final,,"This House opposes the practice of granting political power to violent insurgent groups in developing nations (examples include but are not limited to FARC in Colombia, Hamas in Palestine, Taliban in Afghanistan) (violent insurgents)"
14,EFL Quarter Final,,This House believes that wages should be determined solely based on the direct contribution produced by each worker in the company (wages)
15,EFL Semi Final,"""Hannamchoong"" or ""hannam"" directly translates to “Korean male parasite”. This term is frequently used by Korean feminists to criticize Korean men for patriarchal attitudes.","This House believes that South Korean feminists should actively denounce the term ""hannamchoong"". (hannamchoong)"
16,EFL Grand Final,"For the purpose of this debate, ""Nepenthes"" is a technology which allows individuals to irreversibly erase all sadness and sorrow, associated with past and future memories. The technology does not erase memories themselves.",This House would allow the use of Nepenthes (sadness)
