,Word,Count
0,nan,779
49,would,218
21,house,135
533,world,131
225,one,114
350,people,113
279,government,107
10,social,98
763,political,96
59,eg,94
366,,78
76,countries,78
463,use,76
661,system,74
3,refers,73
155,states,69
906,individuals,67
229,also,66
210,state,66
300,life,65
680,movement,63
137,economic,62
99,include,62
932,new,60
928,china,58
141,international,58
921,like,56
668,used,56
1574,many,56
442,often,55
697,individual,54
30,etc,53
464,within,53
286,years,52
221,country,51
870,religious,51
177,us,50
1309,support,50
655,women,49
1142,may,48
345,public,47
148,policy,47
2424,media,47
536,human,47
1642,identity,46
1116,debate,46
88,companies,45
807,technology,44
15,rather,43
690,national,43
1931,party,43
112,rise,42
8,members,42
445,without,41
171,time,41
416,power,41
923,two,41
486,culture,40
28,community,40
1270,law,40
1793,example,40
422,military,38
565,de,37
927,united,37
142,trade,36
2280,however,36
647,limited,35
6,groups,35
1179,deal,35
790,chinese,35
36,high,35
111,regrets,35
1215,currently,34
1658,change,34
726,person,34
524,live,34
855,good,34
1628,significant,33
371,make,33
275,nations,33
251,war,33
2605,rights,32
459,ability,32
433,funding,32
2213,recently,32
710,form,32
418,president,32
1676,indian,32
64,governments,31
822,society,31
701,work,31
772,parties,31
282,could,31
2051,children,31
296,supports,31
116,union,31
1727,made,30
2553,including,30
1203,due,30
786,global,30
1605,financial,30
862,ie,30
1752,even,29
197,different,29
359,known,29
2563,around,29
479,gender,29
334,feminist,29
75,developing,29
2010,2020,29
175,since,29
2594,league,29
1273,laws,28
1893,content,28
714,humans,28
916,well,28
98,examples,28
1153,allow,27
2679,iran,27
678,court,27
66,money,27
199,european,27
803,market,27
259,art,27
2824,tax,27
1979,services,27
2627,take,27
1621,african,27
291,city,27
1926,process,27
865,personal,27
1932,vote,27
1673,india,27
457,act,27
25,communities,26
814,member,26
1826,information,26
81,foreign,26
1636,purposes,26
1627,company,26
1787,decision,26
2857,group,26
124,among,26
2718,majority,25
56,debt,25
666,term,25
722,exchange,25
22,believes,25
402,south,25
4320,moral,25
1690,given,25
1645,narrative,25
352,way,25
2089,indigenous,25
3260,progressive,25
226,best,24
2754,students,24
119,agreement,24
523,part,24
850,religion,24
2577,several,24
95,instead,24
2284,create,24
819,model,24
753,online,24
2803,motion,24
1265,legal,24
159,thw,24
497,popular,24
2538,film,23
1637,born,23
514,sex,23
2437,security,23
3067,control,23
2344,civil,23
2652,first,23
2808,lives,23
872,opposed,23
92,independent,23
2100,private,23
1131,education,23
787,development,23
716,choose,23
770,capital,23
2000,others,23
689,workers,22
34,parents,22
2299,actions,22
257,prefers,22
2,politics,22
2476,research,22
2119,access,22
720,free,22
2967,towards,22
351,using,22
527,concept,22
1517,sports,22
2827,2021,21
2044,medical,21
1526,year,21
528,god,21
1522,football,21
51,health,21
3262,heavily,21
330,eu,21
243,need,21
802,large,21
1779,future,21
1312,done,21
1293,criminal,21
67,typically,21
43,includes,21
285,recent,21
168,domestic,21
114,central,21
2902,go,21
1589,number,20
162,teams,20
1156,justice,20
771,specific,20
809,systems,20
1467,ban,20
2520,order,20
1844,actively,20
241,fund,20
910,harm,20
1291,right,20
1193,leaders,20
1175,past,20
258,creation,20
202,focus,20
217,based,20
42,adopt,20
335,movements,20
1712,death,20
2616,able,20
3223,called,19
23,prominent,19
1665,interest,19
1641,sexual,19
327,whether,19
485,western,19
311,earth,19
4770,biden,19
265,current,19
1632,crisis,19
272,set,19
245,open,19
1080,1,19
1200,away,19
2401,local,19
237,become,19
863,family,19
200,bank,19
1984,left,19
426,2,19
280,citizens,18
268,cities,18
3426,self,18
2853,west,18
2165,wealth,18
2013,saudi,18
4038,small,18
739,emotional,18
561,que,18
542,real,18
1656,cannot,18
1798,every,18
470,usually,18
316,run,18
1790,resources,18
214,test,18
577,e,18
1646,election,18
537,action,17
1326,property,17
1418,back,17
109,2018,17
1732,exists,17
493,purpose,17
2085,offer,17
1333,industry,17
1320,production,17
2382,still,17
1500,head,17
2302,music,17
853,certain,17
2201,working,17
1571,last,17
1269,existing,17
24,institutions,17
216,career,17
2376,likely,17
1600,monetary,17
1521,american,17
2399,means,17
271,land,17
706,policies,17
196,banks,17
165,pay,17
184,pursue,17
3486,former,17
1146,evidence,16
2692,believe,16
5658,sri,16
2893,child,16
2306,belief,16
2474,involves,16
788,strategy,16
676,judges,16
792,infrastructure,16
2030,leader,16
1618,significantly,16
2623,provide,16
3595,upon,16
715,choice,16
2095,ways,16
4237,north,16
5173,medusa,16
1733,must,16
1794,taking,16
2556,tamil,16
2140,games,16
2170,violence,16
2807,black,16
3237,bonded,16
1339,covid19,16
4,attempts,16
27,schools,16
2154,early,16
249,end,16
80,courts,15
866,experience,15
2749,school,15
1607,conditions,15
873,muslim,15
448,korean,15
2055,crimes,15
386,water,15
408,powers,15
888,give,15
389,come,15
2008,arabia,15
1943,much,15
2560,office,15
2609,outside,15
511,old,15
915,general,15
980,team,15
1620,loans,15
2667,islamic,15
3712,generally,15
323,hold,15
281,nation,15
5322,three,15
5119,partnership,15
1729,living,15
2435,hong,15
2438,various,15
1896,language,15
1799,day,15
4730,administration,15
319,trump,15
2971,gain,15
5259,level,15
2965,value,15
718,result,15
5496,gods,15
160,require,15
1878,minimum,14
400,increasing,14
826,democratic,14
2402,directly,14
1765,times,14
3242,return,14
2367,young,14
3658,opposition,14
1851,supreme,14
1149,area,14
